threshold,rec_fake,prec_fake,f1,acc,score,source
0.75,0.616,0.7652173913043478,0.6825484764542935,0.7135,0.6423871191135735,celebdf_external
0.76,0.6015,0.7667304015296367,0.6741384141216027,0.70925,0.6304346035304007,celebdf_external
0.77,0.587,0.766819072501633,0.6649674313225715,0.70425,0.6182168578306428,celebdf_external
0.78,0.575,0.7744107744107744,0.659971305595409,0.70375,0.6091178263988521,celebdf_external
0.79,0.5625,0.7780082987551867,0.6529309344167151,0.701,0.5989577336041789,celebdf_external
0.8,0.5425,0.7800143781452192,0.6399292244175759,0.69475,0.5820823061043939,celebdf_external
0.8099999999999999,0.5255,0.7819940476190477,0.6285885167464116,0.6895,0.5676721291866029,celebdf_external
0.82,0.5095,0.7967161845191556,0.6215309545593168,0.68975,0.5555327386398292,celebdf_external
0.83,0.486,0.800658978583196,0.6048537647790915,0.6825,0.5353634411947729,celebdf_external
0.84,0.4595,0.8026200873362446,0.5844197138314785,0.67325,0.5121049284578696,celebdf_external
0.85,0.445,0.8127853881278538,0.5751211631663974,0.67125,0.5001552907915994,celebdf_external
0.86,0.418,0.8204121687929342,0.5538257701225572,0.66325,0.47648144253063934,celebdf_external
0.87,0.39,0.8253968253968254,0.5297113752122242,0.65375,0.4513028438030561,celebdf_external
0.88,0.3485,0.8397590361445784,0.49257950530035327,0.641,0.4137698763250883,celebdf_external
0.89,0.3095,0.8549723756906077,0.4544787077826725,0.6285,0.3776446769456681,celebdf_external
0.9,0.2495,0.8618307426597582,0.3869716944552152,0.60475,0.31939292361380384,celebdf_external
